 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             291.165              18.444             280.353              52.825               0.785               0.728
               0.000             291.279              18.661             280.776              54.311               0.576               0.961
               0.000             289.948              18.273             281.979              63.947               0.310               1.021
               0.007             290.298              19.650             285.724              77.878               0.973               0.754
               0.021             290.394              19.772             285.719              78.284               0.337               0.849
               0.167             289.949              18.693             283.555              69.523               0.512               0.979
               0.000             289.265              16.825             277.283              52.050               1.892              -1.653
               0.000             288.803              14.311             266.064              21.403               0.899              -2.671
               0.000             289.400              15.641             272.573              34.252               0.730               0.729
               0.000             287.750              17.104             282.110              74.802              -0.039               0.970
               0.049             288.989              17.856             281.805              69.775               0.628               1.267
               0.149             288.527              17.101             280.773              64.685               0.526               1.955
               0.018             288.570              18.012             283.918              77.398               1.864               2.017
               0.029             288.585              16.502             278.416              55.288               0.236              -0.530
               3.805             290.276              16.459             274.706              36.585               0.108               0.717
               1.107             288.736              17.417             281.622              66.671              -0.763               2.746
               5.401             288.044              17.560             283.828              77.742              -0.280               3.562
               0.000             287.531              17.109             283.193              77.875               1.238               0.818
               0.037             287.337              16.397             281.107              69.391               0.625               0.208
               0.000             287.853              16.334             279.889              61.695               0.437               0.194
               0.007             288.540              16.184             276.804              51.185              -0.590              -0.624
               0.133             291.695              16.641             270.742              26.040              -0.807              -0.466
               0.000             292.537              17.008             270.567              23.456              -0.111               0.515
               0.000             291.482              17.125             274.340              33.686               0.013               0.511
